"rt","response","accuracy","trial_type","trial_index","time_elapsed","internal_node_id","real_trial_index","subject_id","study_id","session_id","presentation_time","soa","monitorsize_inch","pxperdeg","stimulus_diagonal_px","stimulus_diagonal_cm","success","timeout","failed_images","failed_audio","failed_video","width","height","browser","browser_version","mobile","os","fullscreen","vsync_rate","view_history","stimulus","block","condition","expected_response","effective_response","correct"
"2831","{""survey_subject_id"":""p"",""survey_study_id"":""l"",""survey_session_id"":""m""}","[]","survey","0","2854","0.0-0.0","0","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","2867","0.0-1.0","0","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","true","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","","","fullscreen","2","4260","0.0-2.0","0","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","true","","","","","","","","","","","","","","","","","","",""
"","","","browser-check","3","5258","0.0-3.0","0","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","1440","900","chrome","114.0.0","false","Mac OS","true","60.3","","","","","","",""
"2976","","","instructions","4","8234","0.0-4.0","0","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1121},{""page_index"":1,""viewing_time"":546},{""page_index"":2,""viewing_time"":397},{""page_index"":3,""viewing_time"":377},{""page_index"":4,""viewing_time"":535}]","","","","","",""
"","[]","","html-keyboard-response","5","11255","0.0-5.0-0.0","1","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","shapedown","practice","NoGo","0","0","true"
"240","["" ""]","","html-keyboard-response","6","12263","0.0-5.0-0.1","2","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","shapeup","practice","Go","1","1","true"
"289","["" ""]","","html-keyboard-response","7","13271","0.0-5.0-0.2","3","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","shapeup","practice","Go","1","1","true"
"","[]","","html-keyboard-response","8","14279","0.0-5.0-0.3","4","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","shapedown","practice","NoGo","0","0","true"
"379","["" ""]","","html-keyboard-response","9","15287","0.0-5.0-0.4","5","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","shapeup","practice","Go","1","1","true"
"1610","["" ""]","","html-keyboard-response","10","16901","0.0-6.0","0","p","l","m","250","1000","13.3","52","335.3210206385759","6.756400000000001","","","","","","","","","","","","","","","","","","","",""
