"rt","response","accuracy","trial_type","trial_index","time_elapsed","internal_node_id","real_trial_index","subject_id","study_id","session_id","presentation_time","soa","monitorsize_inch","pxperdeg","stimulus_diagonal_px","stimulus_diagonal_cm","success","timeout","failed_images","failed_audio","failed_video","width","height","browser","browser_version","mobile","os","fullscreen","vsync_rate","stimulus","block","condition","expected_response","effective_response","correct"
"1595","{""survey_subject_id"":""p"",""survey_study_id"":""l"",""survey_session_id"":""m""}","[]","survey","0","1599","0.0-0.0","0","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","1605","0.0-1.0","0","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"","","","fullscreen","2","3096","0.0-2.0","0","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","true","","","","","","","","","","","","","","","","","",""
"","","","browser-check","3","4099","0.0-3.0","0","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","1440","900","chrome","114.0.0","false","Mac OS","true","60.48","","","","","",""
"","","","fullscreen","4","6361","0.0-4.0","0","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","true","","","","","","","","","","","","","","","","","",""
"","[]","","html-keyboard-response","5","12482","0.0-5.0-0.0","1","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","shapedown","SA","NoGo","0","0","true"
"","[]","","html-keyboard-response","6","16593","0.0-5.0-0.1","2","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","shapeup","SA","Go","1","0","false"
"","[]","","html-keyboard-response","7","20704","0.0-5.0-0.2","3","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","shapeup","SA","Go","1","0","false"
"","[]","","html-keyboard-response","8","24817","0.0-5.0-0.3","4","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","shapedown","SA","NoGo","0","0","true"
"1151","["" ""]","","html-keyboard-response","9","25973","0.0-6.0","0","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","","","","","",""
"","[]","","html-keyboard-response","10","32090","0.0-7.0-0.0","1","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","shapedown","IC","NoGo","0","0","true"
"","[]","","html-keyboard-response","11","36199","0.0-7.0-0.1","2","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","shapeup","IC","Go","1","0","false"
"","[]","","html-keyboard-response","12","40305","0.0-7.0-0.2","3","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","shapeup","IC","Go","1","0","false"
"","[]","","html-keyboard-response","13","44419","0.0-7.0-0.3","4","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","shapedown","IC","NoGo","0","0","true"
"4081","["" ""]","","html-keyboard-response","14","48503","0.0-8.0","0","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","51522","0.0-9.0","0","p","l","m","4000","4100","13.3","52","669.5835237035706","6.756400000000001","true","","","","","","","","","","","","","","","","","",""
