"rt","response","accuracy","trial_type","trial_index","time_elapsed","internal_node_id","real_trial_index","subject_id","study_id","session_id","presentation_time","soa","monitorsize_inch","pxperdeg","stimulus_diagonal_px","stimulus_diagonal_cm","success","timeout","failed_images","failed_audio","failed_video","width","height","browser","browser_version","mobile","os","fullscreen","vsync_rate","stimulus","block","condition","expected_response","effective_response","correct"
"3693","{""survey_subject_id"":""p"",""survey_study_id"":""l"",""survey_session_id"":""m""}","[]","survey","0","3701","0.0-0.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","",""
"","","","preload","1","3713","0.0-1.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","false","[]","[]","[]","","","","","","","","","","","","","",""
"","","","fullscreen","2","5342","0.0-2.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","","","","","","","","","","","","","","","","","",""
"","","","browser-check","3","6343","0.0-3.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","1440","900","chrome","114.0.0","false","Mac OS","true","60.36","","","","","",""
"","","","fullscreen","4","10797","0.0-4.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","","","","","","","","","","","","","","","","","",""
"412","["" ""]","","html-keyboard-response","5","16915","0.0-5.0-0.0","1","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","shapedown","SA","NoGo","0","1","false"
"","[]","","html-keyboard-response","6","21030","0.0-5.0-0.1","2","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","shapeup","SA","Go","1","0","false"
"496","["" ""]","","html-keyboard-response","7","25139","0.0-5.0-0.2","3","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","shapeup","SA","Go","1","1","true"
"","[]","","html-keyboard-response","8","29251","0.0-5.0-0.3","4","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","shapedown","SA","NoGo","0","0","true"
"2079","["" ""]","","html-keyboard-response","9","31336","0.0-6.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","",""
"","[]","","html-keyboard-response","10","37462","0.0-7.0-0.0","1","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","shapedown","IC","NoGo","0","0","true"
"304","["" ""]","","html-keyboard-response","11","41570","0.0-7.0-0.1","2","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","shapeup","IC","Go","1","1","true"
"367","["" ""]","","html-keyboard-response","12","45678","0.0-7.0-0.2","3","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","shapeup","IC","Go","1","1","true"
"","[]","","html-keyboard-response","13","49795","0.0-7.0-0.3","4","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","shapedown","IC","NoGo","0","0","true"
"858","["" ""]","","html-keyboard-response","14","50656","0.0-8.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","53669","0.0-9.0","0","p","l","m","250","4100","13.3","52","502.6501955867981","5.0673","true","","","","","","","","","","","","","","","","","",""
